"ﺎﻤﻠﺴﻤﯨ ﻻﻮﻈﻴﻔﻳ ﺢﺴﺑ ﺖﻘﻴﻴﻣ
ﻼﺠﻫﺓ ﻼﻄﺒﻳﺓ ﺎﻤﻠﺨﺘﺻﺓ",ﺎﻤﻟﺆﻬﻟ ﻼﻌﻠﻤﻳ ﺎﻤﻠﻄﻟﻮﺑ,ﻼﺨﺑﺭﺓ ﻼﻌﻤﻠﻳﺓ ﺎﻤﻠﻄﻟﻮﺑﺓ,,ﻼﻋﻻﻭﺓ ﻼﻔﻨﻳﺓ
ﻡﺮﺷﺩ ﺍﻸﻣﺭﺎﺿ ﻻﻭﺭﺎﺜﻳﺓ,"ﺐﻛﻻﻭﺭﻮﻴﺳ + ﻡﺎﺠﺴﺘﻳﺭ ﻒﻳ
ﻢﺟﻻ ﻼﺘﺨﺼﺻ",ﺙﻼﺛ ﺲﻧﻭﺎﺗ ﺐﻋﺩ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,,
ﺖﻘﻨﻳ ﻂﺑ ﻥﻭﻮﻳ,"ﺐﻛﻻﻭﺭﻮﻴﺳ + ﻡﺎﺠﺴﺘﻳﺭ ﻒﻳ
ﻢﺟﻻ ﻼﺘﺨﺼﺻ",ﺙﻼﺛ ﺲﻧﻭﺎﺗ ﺐﻋﺩ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,,
ﻉﻼﻣ ﺱﺮﻳﺮﻳ,"ﺐﻛﻻﻭﺭﻮﻴﺳ + ﻡﺎﺠﺴﺘﻳﺭ ﻒﻳ
ﻢﺟﻻ ﻼﺘﺨﺼﺻ",ﺙﻼﺛ ﺲﻧﻭﺎﺗ ﺐﻋﺩ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,,
ﺖﻘﻨﻳ ﻼﻔﻳﺰﻳﺍﺀ ﻼﻄﺒﻳﺓ,"ﺐﻛﻻﻭﺭﻮﻴﺳ + ﻡﺎﺠﺴﺘﻳﺭ ﻒﻳ
ﻢﺟﻻ ﻼﺘﺨﺼﺻ",ﺙﻼﺛ ﺲﻧﻭﺎﺗ ﺐﻋﺩ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,,
ﺺﻳﺪﻠﻳ ﺱﺮﻳﺮﻳ,"ﺐﻛﻻﻭﺭﻮﻴﺳ ﻒﻳ ﻢﺟﻻ
ﻼﺘﺨﺼﺻ + ﻡﺆﻬﻟ ﻉﻼﻳ
)ﻡﺎﺠﺴﺘﻳﺭ ﺃﻭ ﺪﻜﺗﻭﺭﺎﻫ(",ﺙﻼﺛ ﺲﻧﻭﺎﺗ ﺐﻋﺩ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,,
ﺄﺨﺻﺎﺌﻳ ﻊﻠﻣ ﻼﻨﻔﺳ,"ﺐﻛﻻﻭﺭﻮﻴﺳ + ﻡﺎﺠﺴﺘﻳﺭ ﻒﻳ
ﻢﺟﻻ ﻼﺘﺨﺼﺻ",ﺙﻼﺛ ﺲﻧﻭﺎﺗ ﺐﻋﺩ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,,
ﺄﺨﺻﺎﺌﻳ ﺥﺪﻣﺓ ﺎﺠﺘﻣﺎﻌﻳﺓ,"ﺐﻛﻻﻭﺭﻮﻴﺳ + ﻡﺎﺠﺴﺘﻳﺭ ﻒﻳ
ﻢﺟﻻ ﻼﺘﺨﺼﺻ",ﺙﻼﺛ ﺲﻧﻭﺎﺗ ﺐﻋﺩ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,,
ﺖﻘﻨﻳ ﻊﻠﻣ ﻼﺴﻣﻮﻣ,"ﺐﻛﻻﻭﺭﻮﻴﺳ ﻒﻳ ﺎﻤﻠﺟﻻ ﻼﻄﺒﻳ
+ ﻡﺎﺠﺴﺘﻳﺭ ﻒﻳ ﻊﻠﻣ ﻼﺴﻣﻮﻣ",ﺙﻼﺛ ﺲﻧﻭﺎﺗ ﺐﻋﺩ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,,
ﻒﻨﻳ ﻂﺑ ﺎﺴﺘﺷﺍﺮﻳ ﺃ,-,-,"5,400","3,300"
ﻒﻨﻳ ﻂﺑ ﺎﺴﺘﺷﺍﺮﻳ ﺏ,-,-,"4,400","3,300"
ﺮﺌﻴﺳ ﻪﻴﺋﺓ ﻼﺘﻣﺮﻴﺿ,-,-,"5,400","2,200"
