0,1,2,3,4
,"10,400",ﺙﻼﺛ ﺲﻧﻭﺎﺗ ﺐﻋﺩ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,ﺐﻛﻻﻭﺭﻮﻴﺳ + ﻡﺎﺠﺴﺘﻳﺭ,ﺖﻘﻨﻳ ﺲﻤﻌﻳﺎﺗ
,,ﺙﻼﺛ ﺲﻧﻭﺎﺗ ﺐﻋﺩ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,"ﺐﻛﻻﻭﺭﻮﻴﺳ + ﻡﺎﺠﺴﺘﻳﺭ ﻒﻳ
ﻢﺟﻻ ﻼﺘﺨﺼﺻ",ﺖﻘﻨﻳ ﺖﻏﺬﻳﺓ ﺱﺮﻳﺮﻳﺓ
,,ﺙﻼﺛ ﺲﻧﻭﺎﺗ ﺐﻋﺩ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,"ﺐﻛﻻﻭﺭﻮﻴﺳ + ﻡﺎﺠﺴﺘﻳﺭ ﻒﻳ
ﻢﺟﻻ ﻼﺘﺨﺼﺻ",ﻡﺮﺷﺩ ﺍﻸﻣﺭﺎﺿ ﻻﻭﺭﺎﺜﻳﺓ
,,ﺙﻼﺛ ﺲﻧﻭﺎﺗ ﺐﻋﺩ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,"ﺐﻛﻻﻭﺭﻮﻴﺳ + ﻡﺎﺠﺴﺘﻳﺭ ﻒﻳ
ﻢﺟﻻ ﻼﺘﺨﺼﺻ",ﺖﻘﻨﻳ ﻂﺑ ﻥﻭﻮﻳ
,,ﺙﻼﺛ ﺲﻧﻭﺎﺗ ﺐﻋﺩ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,"ﺐﻛﻻﻭﺭﻮﻴﺳ + ﻡﺎﺠﺴﺘﻳﺭ ﻒﻳ
ﻢﺟﻻ ﻼﺘﺨﺼﺻ",ﻉﻼﻣ ﺱﺮﻳﺮﻳ
,,ﺙﻼﺛ ﺲﻧﻭﺎﺗ ﺐﻋﺩ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,"ﺐﻛﻻﻭﺭﻮﻴﺳ + ﻡﺎﺠﺴﺘﻳﺭ ﻒﻳ
ﻢﺟﻻ ﻼﺘﺨﺼﺻ",ﺖﻘﻨﻳ ﻼﻔﻳﺰﻳﺍﺀ ﻼﻄﺒﻳﺓ
,,ﺙﻼﺛ ﺲﻧﻭﺎﺗ ﺐﻋﺩ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,"ﺐﻛﻻﻭﺭﻮﻴﺳ ﻒﻳ ﻢﺟﻻ
ﻼﺘﺨﺼﺻ + ﻡﺆﻬﻟ ﻉﻼﻳ 
)ﻡﺎﺠﺴﺘﻳﺭ ﺃﻭ ﺪﻜﺗﻭﺭﺎﻫ(",ﺺﻳﺪﻠﻳ ﺱﺮﻳﺮﻳ
,,ﺙﻼﺛ ﺲﻧﻭﺎﺗ ﺐﻋﺩ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,"ﺐﻛﻻﻭﺭﻮﻴﺳ + ﻡﺎﺠﺴﺘﻳﺭ ﻒﻳ
ﻢﺟﻻ ﻼﺘﺨﺼﺻ",ﺄﺨﺻﺎﺌﻳ ﻊﻠﻣ ﻼﻨﻔﺳ
,,ﺙﻼﺛ ﺲﻧﻭﺎﺗ ﺐﻋﺩ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,"ﺐﻛﻻﻭﺭﻮﻴﺳ + ﻡﺎﺠﺴﺘﻳﺭ ﻒﻳ
ﻢﺟﻻ ﻼﺘﺨﺼﺻ",ﺄﺨﺻﺎﺌﻳ ﺥﺪﻣﺓ ﺎﺠﺘﻣﺎﻌﻳﺓ
,,ﺙﻼﺛ ﺲﻧﻭﺎﺗ ﺐﻋﺩ ﺎﻤﻟﺎﺠﺴﺘﻳﺭ,"ﺐﻛﻻﻭﺭﻮﻴﺳ ﻒﻳ ﺎﻤﻠﺟﻻ ﻼﻄﺒﻳ
+ ﻡﺎﺠﺴﺘﻳﺭ ﻒﻳ ﻊﻠﻣ ﻼﺴﻣﻮﻣ",ﺖﻘﻨﻳ ﻊﻠﻣ ﻼﺴﻣﻮﻣ
"3,300","5,400",-,-,ﻒﻨﻳ ﻂﺑ ﺎﺴﺘﺷﺍﺮﻳ ﺃ
"3,300","4,400",-,-,ﻒﻨﻳ ﻂﺑ ﺎﺴﺘﺷﺍﺮﻳ ﺏ
"2,200","5,400",-,-,ﺮﺌﻴﺳ ﻪﻴﺋﺓ ﻼﺘﻣﺮﻴﺿ
